key,工種名,path,インスタンス数,各インスタンス最終直積,縮退発動(最終パス),最大直積,上限,所要秒,エラー
32-16517,鋼製山留材(切梁・腹起し等),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\016000\32-16517.20230401.20230401.json,1,1,,1,1000,0.09,
64-1775,排水工実施設計(簡易型柔構造形式) 構造設計(電算プログラムを利用しない場合),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\64\001000\64-1775.20240401.20250101.json,2,4/4,,4,1000,0.12,
32-9888,滑材,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\009000\32-9888.20050401.20050401.json,1,10,,10,1000,0.04,
6439-129,(県・参考)トラクタ(1t級)運転費,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6439\000000\6439-129.20170401.20171001.json,1,1,,1,1000,0.05,
32-9498,【H25】〈C-107〉パイロット管設置撤去,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\009000\32-9498.20130401.20130401.json,1,1,,1,1000,0.05,
32-3633,集水桝設置工(地すべり防止工事),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\003000\32-3633.20180401.20180401.json,2,48/192,,192,1000,0.63,
5771-123,発生土運搬工(2t車 0.13m3BH 土砂 5.0km以下 DID有),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5771\000000\5771-123.20140401.20140501.json,1,1,,1,1000,0.03,
32-10664,中込注入工(1m当り),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\010000\32-10664.20120401.20120401.json,1,6,,6,1000,0.07,
5873-32,プラスチック製敷板賃料,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5873\000000\5873-32.20220401.20221001.json,1,1,,1,1000,0.04,
32-13378,【R1】D-1  穿孔機車運転工(必要により計上),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\013000\32-13378.20150401.20150401.json,1,1,,1,1000,0.27,
32-19908,壁役物タイル張り,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\019000\32-19908.20130401.20130401.json,1,64,,64,1000,0.51,
32-14826,水質分析 資料整理,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\014000\32-14826.20150401.20150401.json,1,1,,1,1000,0.02,
32-16269,地質調査等費(ボーリング、サウンディング、その他原位置試験),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\016000\32-16269.20180401.20180401.json,1,3,,3,1000,0.03,
6336-67,【福岡市】【H23】As舗装 粗粒(車道用 仕上厚入力),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6336\000000\6336-67.20180401.20181001.json,1,3,,3,1000,0.1,
32-7330,【R1(H31)】排水桝設置工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\007000\32-7330.20190401.20190401.json,1,108,,108,1000,0.24,
64-2738,ササカッター,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\64\002000\64-2738.20220401.20221101.json,1,1,,1,1000,0.04,
64-2735,ポストホールディガ,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\64\002000\64-2735.20180401.20181101.json,1,497664,YES,497664,1000,11.07,
224-2418,水位流量曲線の作成,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\224\002000\224-2418.20180401.20180401.json,1,1,,1,1000,0.03,
224-1589,解析検討,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\224\001000\224-1589.20170401.20170401.json,1,1,,1,1000,0.04,
32-10213,掘進機搬出工(中大口径),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\010000\32-10213.20050401.20050401.json,1,1,,1,1000,0.04,
5809-152,【H23.10】なだれ防止柵組立(機械),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5809\000000\5809-152.20180401.20180701.json,1,2,,2,1000,0.05,
6074-457,【H30.11】廃ビニル管運搬工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6074\000000\6074-457.20180401.20180801.json,2,2/4,,4,1000,0.13,
5809-182,【H23.10】盛土法尻保護工(根株整形・設置),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5809\000000\5809-182.20180401.20180701.json,1,2,,2,1000,0.04,
6074-581,可とう継手設置費,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6074\000000\6074-581.20230401.20231101.json,1,60,,60,1000,0.59,
32-7860,〈C-51〉推進用硬質塩化ビニル管,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\007000\32-7860.20200401.20200401.json,1,1344,YES,1344,1000,0.38,
64-2501,【H25】ガードパイプ設置(市場単価),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\64\002000\64-2501.20180401.20181101.json,1,48,,48,1000,0.58,
32-7670,〈D-11-1〉建込工(両側分),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\007000\32-7670.20260401.20260401.json,2,1/3,,3,1000,0.34,
6130-646,張出式橋脚,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6130\000000\6130-646.20200401.20200801.json,1,2,,2,1000,0.08,
5771-990,殻運搬工 2t車 As殻 人力積込 0.5km以下 DID無,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5771\000000\5771-990.20140401.20140501.json,1,1,,1,1000,0.04,
32-8171,【H27】------- グラウト工裏込材料(参考),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\008000\32-8171.20180401.20180401.json,1,96,,96,1000,0.42,
32-16857,小規模機械構造物掘削(他所流用),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\016000\32-16857.20180401.20180401.json,1,32,,32,1000,0.4,
6128-76,【H25】プレボーリングによる既製コンクリート杭打込み,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6128\000000\6128-76.20180401.20180801.json,2,20/40,,40,1000,0.91,
38-1216,<C-5> 支圧壁,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\38\001000\38-1216.20210401.20210401.json,1,1,,1,1000,0.07,
5760-15,境界調査(確定測量),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5760\000000\5760-15.20170401.20171001.json,2,2/4,,4,1000,0.06,
32-13100,【H21】7-9 給水車運転工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\013000\32-13100.20150401.20150401.json,1,2,,2,1000,0.5,
32-20706,【H30】滑材注入機械器具損料(参考),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\020000\32-20706.20180401.20180401.json,1,6,,6,1000,0.1,
5771-1503,コンクリート基礎工360°HP-300 CP-300 レミコン18-8-40 再生0-40mm 小車小運搬,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5771\001000\5771-1503.20140401.20140501.json,1,1,,1,1000,0.04,
32-1470,【H29】視線誘導標清掃,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\001000\32-1470.20170401.20170401.json,1,1,,1,1000,0.04,
6272-33,丸太筋工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6272\000000\6272-33.20170401.20171001.json,1,16,,16,1000,0.07,
5712-787,報告書作成,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5712\000000\5712-787.20190401.20191001.json,1,1,,1,1000,0.03,
