key,工種名,path,インスタンス数,各インスタンス最終直積,縮退発動(最終パス),最大直積,上限,所要秒,エラー
32-3203,【H23】ダンプトラック運搬(標準):10t、積込:バックホウ山積0.45m3(平積0.35m3),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\003000\32-3203.20180401.20180401.json,2,864/2592,YES,2592,1000,5.91,
6339-573,【福岡市】支保工兼浮上防止工(製管径730mm以上),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6339\000000\6339-573.20240401.20241001.json,1,2,,2,1000,0.06,
32-2664,【H27】端末支柱設置、撤去,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\002000\32-2664.20180401.20180401.json,1,6,,6,1000,0.16,
6339-785,【北九州市】樹脂モルタル工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\6339\000000\6339-785.20190401.20191001.json,1,1,,1,1000,0.03,
32-6799,換気設備,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\006000\32-6799.20240401.20240401.json,1,2,,2,1000,0.09,
32-3169,路体(狭幅2.5m未満)、路床(狭幅2.5m未満),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\003000\32-3169.20240401.20240401.json,1,10,,10,1000,0.76,
5968-1367,切削オーバーレイ(ICT)【被災地補正】,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5968\001000\5968-1367.20250401.20260401.json,1,480,,480,1000,6.91,
5712-386,ヒーティング復旧工 ユニット割付調査費,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\5712\000000\5712-386.20170401.20170401.json,1,1,,1,1000,0.03,
32-7004,レール加工,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\007000\32-7004.20180401.20180401.json,1,6,,6,1000,0.04,
64-1434,【H26】反射シート現場貼付,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\64\001000\64-1434.20180401.20181001.json,1,2,,2,1000,0.06,
32-2127,ブルドーザ,C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\32\002000\32-2127.20260401.20260401.json,1,622080,YES,622080,1000,9.6,
64-2556,小型バックホウ(ミニホウ),C:\ProgramData\CoBeing\GaiaCloud\DB\Bugakari\64\002000\64-2556.20180401.20181101.json,1,91392,YES,91392,1000,8.62,
