提案ID,テスト区分,根拠カテゴリ,根拠ID,差分概要,テスト軸,入力値,期待確認内容,備考
P-094,差分,質問,質問No:95,質問「再使用時の夜間作業補正」表示名変更,再使用時の夜間作業補正,任意,質問の表示名が「再使用時の夜間作業補正」になっていること,表示名変更: 「再使用時の夜間作業補正」→「再使用時の夜間作業補正」
P-095,差分,質問,質問No:96,質問「撤去時の施工規模による加算」表示名変更,撤去時の施工規模による加算,任意,質問の表示名が「撤去時の施工規模による加算」になっていること,表示名変更: 「撤去時の施工規模による加算」→「撤去時の施工規模による加算」
P-096,差分,質問,質問No:97,質問「撤去時の時間的制約を受ける場合の補正」表示名変更,撤去時の時間的制約を受ける場合の補正,任意,質問の表示名が「撤去時の時間的制約を受ける場合の補正」になっていること,表示名変更: 「撤去時の時間的制約を受ける場合の補正」→「撤去時の時間的制約を受ける場合の補正」
P-097,差分,質問,質問No:98,質問「控除単価(ロス分)の金額判定」表示名変更,控除単価(ロス分)の金額判定,任意,質問の表示名が「控除単価(ロス分)の金額判定」になっていること,表示名変更: 「控除単価(ロス分)の金額判定」→「控除単価(ロス分)の金額判定」
P-098,差分,質問,質問No:99,質問「控除するインターロッキングブロック(T=6cm)ロス分」表示名変更,控除するインターロッキングブロック(T=6cm)ロス分,任意,質問の表示名が「控除するインターロッキングブロック(T=6cm)ロス分」になっていること,表示名変更: 「控除するインターロッキングブロック(T=6cm)ロス分」→「控除するインターロッキングブロック(T=6cm)ロス分」
P-099,差分,質問,質問No:100,質問「控除するインターロッキングブロック(T=8cm)ロス分」表示名変更,控除するインターロッキングブロック(T=8cm)ロス分,任意,質問の表示名が「控除するインターロッキングブロック(T=8cm)ロス分」になっていること,表示名変更: 「控除するインターロッキングブロック(T=8cm)ロス分」→「控除するインターロッキングブロック(T=8cm)ロス分」
P-100,差分,質問,質問No:101,質問「控除単価(ロス分)の金額判定」表示名変更,控除単価(ロス分)の金額判定,任意,質問の表示名が「控除単価(ロス分)の金額判定」になっていること,表示名変更: 「控除単価(ロス分)の金額判定」→「控除単価(ロス分)の金額判定」
P-101,差分,質問,質問No:104,質問「敷材料の種類(砂)決定方法」表示名変更,敷材料の種類(砂)決定方法,任意,質問の表示名が「敷材料の種類(砂)決定方法」になっていること,表示名変更: 「敷材料の種類(砂)決定方法」→「敷材料の種類(砂)決定方法」
P-102,差分,質問,質問No:106,質問「敷材厚さ入力単位区分」表示名変更,敷材厚さ入力単位区分,任意,質問の表示名が「敷材厚さ入力単位区分」になっていること,表示名変更: 「敷材厚さ入力単位区分」→「敷材厚さ入力単位区分」
P-103,差分,質問,質問No:107,質問「敷材料の厚さ」表示名変更,敷材料の厚さ,任意,質問の表示名が「敷材料の厚さ」になっていること,表示名変更: 「敷材料の厚さ」→「敷材料の厚さ」
P-104,差分,質問,質問No:108,質問「撤去時の夜間作業補正」表示名変更,撤去時の夜間作業補正,任意,質問の表示名が「撤去時の夜間作業補正」になっていること,表示名変更: 「撤去時の夜間作業補正」→「撤去時の夜間作業補正」
P-105,差分,質問,質問No:109,質問「規格選択(撤去)(補正なし)」表示名変更,規格選択(撤去)(補正なし),任意,質問の表示名が「規格選択(撤去)(補正なし)」になっていること,表示名変更: 「規格選択(撤去)(補正なし)」→「規格選択(撤去)(補正なし)」
P-106,差分,質問,質問No:110,質問「規格選択(撤去)(6休)」表示名変更,規格選択(撤去)(6休),任意,質問の表示名が「規格選択(撤去)(6休)」になっていること,表示名変更: 「規格選択(撤去)(6休)」→「規格選択(撤去)(6休)」
P-107,差分,質問,質問No:111,質問「規格選択(撤去)(7休)」表示名変更,規格選択(撤去)(7休),任意,質問の表示名が「規格選択(撤去)(7休)」になっていること,表示名変更: 「規格選択(撤去)(7休)」→「規格選択(撤去)(7休)」
P-108,差分,質問,質問No:112,質問「規格選択(撤去)(8休)」表示名変更,規格選択(撤去)(8休),任意,質問の表示名が「規格選択(撤去)(8休)」になっていること,表示名変更: 「規格選択(撤去)(8休)」→「規格選択(撤去)(8休)」
P-109,差分,質問,質問No:113,質問「規格選択(撤去)(月単位(合計))」表示名変更,規格選択(撤去)(月単位(合計)),任意,質問の表示名が「規格選択(撤去)(月単位(合計))」になっていること,表示名変更: 「規格選択(撤去)(月単位(合計))」→「規格選択(撤去)(月単位(合計))」
P-110,差分,質問,質問No:114,質問「規格選択(撤去)(通期)」表示名変更,規格選択(撤去)(通期),任意,質問の表示名が「規格選択(撤去)(通期)」になっていること,表示名変更: 「規格選択(撤去)(通期)」→「規格選択(撤去)(通期)」
P-111,差分,質問,質問No:115,質問「規格選択(撤去)(完全週休2日)」表示名変更,規格選択(撤去)(完全週休2日),任意,質問の表示名が「規格選択(撤去)(完全週休2日)」になっていること,表示名変更: 「規格選択(撤去)(完全週休2日)」→「規格選択(撤去)(完全週休2日)」
